AirlineId,Name,HotlineNumber,IcaoCode,Callsign
39e2627f-36ca-4b73-9f46-3c059b732a82,Phoenix Aviation,,PHG,PHOENIX GROUP
47749eaf-8cf2-43c6-b377-5b95d125377f,Tradewind Aviation,,GPD,GOODSPEED
e760ce7e-ccea-4419-b51e-ef4a353f180c,Private Wings Flugcharter,,PWF,PRIVATE WINGS
5d9743e1-26d8-43b2-b684-5f953990a0b6,Air Memphis,,MHU,MEPHIS UGANDA
26c1e0e0-2ca0-46f9-949b-a84d1886d809,Abx Air,,ABX,ABEX
61708a11-48e1-4e94-b42c-49d78863b3f6,Epps Air Service,,EPS,EPPS AIR
89ab890e-10d5-4dde-97fa-653aaf294611,Japan Airlines,,JAL,JAPANAIR
3150ecde-bb15-42da-9ddc-49eba309c877,Royal New Zealand Air Force,,KIW,KIWI
0362bbe5-e445-48c7-b018-196e0f2ec9c1,Zagros Airlines,,IZG,ZAGROS
03090c95-4b3e-4ccf-be4c-954c3030d337,Air Tahiti Nui,,THT,TAHITI AIRLINES
703f9640-2248-45d2-97df-29d64b979025,Argentine Air Force,,FAG,FUAER
f510596b-aef9-442b-9b1c-253ef954c76c,Bae Systems,,WTN,TARNISH
9dc31041-6831-4a88-b051-1c923febdc19,Air China,,CCA,AIR CHINA
7c352507-2fef-4b21-91ba-16ce2c987e6c,Aviaexpress Aircompany,,VXX,EXPRESSAVIA
e6c74bee-63ec-4db3-a7f0-7df0eaf762f4,Griffin Aviation,,GFF,GRIFFIN AIR
134af5a1-a461-4b78-80e7-ec948ebf016f,Portuguese Air Force,,AFP,PORTUGUESE AIR FORCE
a6855414-c2d8-4005-a499-095614adea96,Era Helicopters,,ERH,ERAH
25061ad1-7132-4ee8-b585-14e4295b0fa9,Mission Aviation Fellowship,,MAF,MISSI
d6a6310f-7537-4717-bfae-19dcac885b9f,Coulson Aviation,,CUL,
2a429156-477f-4382-8de8-18851188336a,Masterjet,,LMJ,MASTERJET
585ba302-a7e6-4142-a73f-896cf0a82e62,Silk Way Airlines,,AZQ,SILK LINE
6e857f66-d23e-43ac-9d97-193c1b6b78d6,Hokkaido Air System,,NTH,NORTH AIR
3ad57375-ab32-47db-b3ee-237110a5e697,Heliportugal,,HPL,HELIPORTUGAL
cf385b18-48b3-4db5-9e02-6ca3220c0217,Ulyanovsk Higher Civil Aviation School,,UHS,PILOT AIR
b4673d6a-4bdc-4d90-95de-bd6011090d42,Jetconnect,,QNZ,QANTAS JETCONNECT
60882cdf-fa9d-4b03-87f3-55b385e2449e,Trade Air,,TDR,TRADEAIR
38354e96-8133-4f01-956f-a0db0f249a56,Ameristar Jet Charter,,AJI,AMERISTAR
ef027609-f306-426c-8310-ae4c160f80c7,Nippon Cargo Airlines,,NCA,NIPPON CARGO
24617771-9ea4-4b01-b9f8-23bae86bd535,Flamingo Air,,FMR,FLAMINGO AIR
549f1b9a-c4d7-4899-b426-c9cb917e6ff3,Reliance Aviation,,REL,RELIANCE AIR
790d8afb-51d9-4a77-8bed-1ca96285f2bf,London Executive Aviation,,LNX,LONEX
acfcebc7-8500-46c3-9cd7-9d8047ccfb81,Air Bravo,,BRF,AIR BRAVO
d46cff85-04ae-4a6d-8df8-2ebfa8425e6f,Air Center Helicopters,,RAP,RAPTOR
768d2f0b-92f7-4fe8-b6f2-9ccd71830220,Maxair,,MXL,MAXAIR
f3f2aa7c-6bac-4254-8480-63a8fcedab3b,Federal Aviation Administration,,NHK,NIGHTHAWK
13704851-f10d-492a-abc8-6ed8f7963a21,Flair Airlines,,FLE,FLAIR
3115fc77-374f-4d4f-975a-24c7595cd8c1,Braathens,,BRA,Braathens
0156b4b9-f10c-4f10-a089-b1b1936febe0,Flugschule Basel,,FLU,YELLOW FLYER
39d2797b-3a58-4898-a226-31714a5b64f6,Wizz Air,,WZZ,WIZZAIR
477dfbe5-ff6c-431f-9868-3623f306785d,American Jet International,,SCM,SCREAMER
24b97c9f-46ae-4704-bbf4-c66cff0be7c9,Reed Aviation,,RAV,REED AVIATION
b3734d99-3e0d-4d98-b522-52912292ee55,Klm,,KLM,KLM
886ae554-48c2-4707-b4c9-2350410bddbd,British Airways,,BAW,SPEEDBIRD
994382e5-a7c8-400d-8f59-9989f8296b9d,Dalia Air,,DLI,DELTA EXPRESS
657804f1-a3e0-49b2-88cf-f273620fc439,Netjets Europe,,NJE,FRACTION
35dac9b0-3d4a-4b41-8e90-2de207decfad,Island Air,,ISI,ISLANDMEX
bd54e80a-8b6c-4823-b57c-07882f90f926,Polish Air Force,,PLF,POLISH AIRFORCE
d55bad8f-1c1e-4b03-92d5-52a541812352,Mac Aviation,,MAQ,MAC AVIATION
71440a2a-a08f-400f-adb6-c6f6f0441618,Maximus Air Cargo,,MXU,CARGO MAX
bca50758-a5ea-40ad-b03a-d73685b7ffdc,Pobeda,,PBD,POBEDA
7802256e-9ed1-4f59-881b-631b44bf3bda,Royal Norwegian Air Force,,NOW,NORWEGIAN
